,open,high,low,close,volume,value
2025-02-01 09:00:00,5046000.0,5099000.0,4840000.0,4877000.0,36610.6865729,182400799920.88193
2025-02-02 09:00:00,4878000.0,4930000.0,4451000.0,4541000.0,75379.0187667,355047439536.6165
2025-02-03 09:00:00,4540000.0,4616000.0,3950000.0,4501000.0,297904.15179666,1259165876437.769
2025-02-04 09:00:00,4502000.0,4528000.0,4130000.0,4302000.0,115830.88075495,501198061206.6177
2025-02-05 09:00:00,4302000.0,4402000.0,4235000.0,4366000.0,53979.5496893,233431128819.7789
2025-02-06 09:00:00,4366000.0,4431000.0,4165000.0,4214000.0,49024.04714407,211778112372.4218
2025-02-07 09:00:00,4214000.0,4311000.0,4000000.0,4068000.0,57555.36884913,239182680197.40796
2025-02-08 09:00:00,4068000.0,4133000.0,4004000.0,4061000.0,27440.64503176,111336122287.39488
2025-02-09 09:00:00,4063000.0,4149000.0,3910000.0,4022000.0,34860.88929122,140690954810.278
2025-02-10 09:00:00,4022000.0,4078000.0,3921000.0,4040000.0,32637.54022819,130815350659.85368
2025-02-11 09:00:00,4040000.0,4121000.0,3941000.0,3970000.0,36081.56301496,145716200632.1076
2025-02-12 09:00:00,3970000.0,4232000.0,3895000.0,4143000.0,51230.79378974,205526692900.0933
2025-02-13 09:00:00,4142000.0,4166000.0,3970000.0,4037000.0,35500.90326179,143803758246.75726
2025-02-14 09:00:00,4037000.0,4179000.0,4012000.0,4095000.0,30344.34895779,123820017727.32573
2025-02-15 09:00:00,4095000.0,4119000.0,4038000.0,4069000.0,16209.78417081,66163998379.74526
2025-02-16 09:00:00,4071000.0,4102000.0,4015000.0,4029000.0,13404.72473619,54445001053.57216
2025-02-17 09:00:00,4029000.0,4288000.0,3997000.0,4134000.0,44405.63390749,183713292935.83774
2025-02-18 09:00:00,4134000.0,4155000.0,3941000.0,4018000.0,41219.89181871,166327018050.27255
2025-02-19 09:00:00,4019000.0,4087000.0,3984000.0,4055000.0,22485.33318242,90898078590.21323
2025-02-20 09:00:00,4055000.0,4100000.0,4025000.0,4058000.0,21774.32051158,88508491074.48953
2025-02-21 09:00:00,4058000.0,4188000.0,3904000.0,3954000.0,54228.55224353,218894569028.0972
2025-02-22 09:00:00,3955000.0,4117000.0,3938000.0,4069000.0,24281.81040519,97615136566.72653
2025-02-23 09:00:00,4067000.0,4180000.0,4044000.0,4136000.0,29100.77674765,119618827346.80556
2025-02-24 09:00:00,4135000.0,4169000.0,3601000.0,3634000.0,91391.65167115,353300241825.2081
2025-02-25 09:00:00,3633000.0,3696000.0,3368000.0,3643000.0,104476.40214578,369177938993.9168
2025-02-26 09:00:00,3643000.0,3647000.0,3310000.0,3408000.0,54240.03720454,188695471019.2365
2025-02-27 09:00:00,3409000.0,3487000.0,3291000.0,3384000.0,50712.57835669,172327717698.033
